X,XErrorLow,XErrorHigh,Y,YErrorLow,YErrorHigh
2.28E+06,0.000000e+00,0.000000e+00,2.96E+04,1.28E+03,1.28E+03
2.54E+06,0.000000e+00,0.000000e+00,2.74E+04,1.10E+03,1.10E+03
2.82E+06,0.000000e+00,0.000000e+00,2.58E+04,9.77E+02,9.77E+02
3.13E+06,0.000000e+00,0.000000e+00,2.34E+04,8.60E+02,8.60E+02
3.47E+06,0.000000e+00,0.000000e+00,2.10E+04,7.53E+02,7.53E+02
3.83E+06,0.000000e+00,0.000000e+00,1.82E+04,6.36E+02,6.36E+02
4.23E+06,0.000000e+00,0.000000e+00,1.54E+04,5.32E+02,5.32E+02
4.66E+06,0.000000e+00,0.000000e+00,1.31E+04,4.46E+02,4.46E+02
5.13E+06,0.000000e+00,0.000000e+00,1.09E+04,3.74E+02,3.74E+02
5.64E+06,0.000000e+00,0.000000e+00,8.94E+03,3.04E+02,3.04E+02
6.19E+06,0.000000e+00,0.000000e+00,7.38E+03,2.51E+02,2.51E+02
6.78E+06,0.000000e+00,0.000000e+00,6.03E+03,2.05E+02,2.05E+02
7.43E+06,0.000000e+00,0.000000e+00,4.88E+03,1.66E+02,1.66E+02
8.12E+06,0.000000e+00,0.000000e+00,3.95E+03,1.34E+02,1.34E+02
8.87E+06,0.000000e+00,0.000000e+00,3.21E+03,1.09E+02,1.09E+02
9.68E+06,0.000000e+00,0.000000e+00,2.61E+03,8.92E+01,8.92E+01
1.06E+07,0.000000e+00,0.000000e+00,2.11E+03,7.27E+01,7.27E+01
1.15E+07,0.000000e+00,0.000000e+00,1.66E+03,5.82E+01,5.82E+01
1.25E+07,0.000000e+00,0.000000e+00,1.35E+03,4.72E+01,4.72E+01
1.36E+07,0.000000e+00,0.000000e+00,1.10E+03,3.86E+01,3.86E+01
1.47E+07,0.000000e+00,0.000000e+00,8.90E+02,3.17E+01,3.17E+01
1.60E+07,0.000000e+00,0.000000e+00,7.14E+02,2.56E+01,2.56E+01
1.73E+07,0.000000e+00,0.000000e+00,5.70E+02,2.06E+01,2.06E+01
1.88E+07,0.000000e+00,0.000000e+00,4.51E+02,1.65E+01,1.65E+01
2.03E+07,0.000000e+00,0.000000e+00,3.65E+02,1.35E+01,1.35E+01
2.20E+07,0.000000e+00,0.000000e+00,2.92E+02,1.09E+01,1.09E+01
2.38E+07,0.000000e+00,0.000000e+00,2.45E+02,9.17E+00,9.17E+00
2.57E+07,0.000000e+00,0.000000e+00,1.87E+02,7.11E+00,7.11E+00
2.78E+07,0.000000e+00,0.000000e+00,1.51E+02,5.82E+00,5.82E+00
3.12E+07,0.000000e+00,0.000000e+00,1.08E+02,3.90E+00,3.90E+00
3.62E+07,0.000000e+00,0.000000e+00,7.05E+01,2.66E+00,2.66E+00
4.20E+07,0.000000e+00,0.000000e+00,4.62E+01,1.81E+00,1.81E+00
4.87E+07,0.000000e+00,0.000000e+00,2.99E+01,1.23E+00,1.23E+00
5.63E+07,0.000000e+00,0.000000e+00,1.92E+01,8.32E-01,8.32E-01
6.50E+07,0.000000e+00,0.000000e+00,1.20E+01,5.54E-01,5.54E-01
7.51E+07,0.000000e+00,0.000000e+00,7.77E+00,3.84E-01,3.84E-01
8.68E+07,0.000000e+00,0.000000e+00,5.18E+00,2.74E-01,2.74E-01
1.01E+08,0.000000e+00,0.000000e+00,2.99E+00,1.76E-01,1.76E-01
1.17E+08,0.000000e+00,0.000000e+00,2.23E+00,1.39E-01,1.39E-01
1.36E+08,0.000000e+00,0.000000e+00,1.44E+00,9.54E-02,9.54E-02
1.61E+08,0.000000e+00,0.000000e+00,7.77E-01,5.92E-02,5.92E-02
1.93E+08,0.000000e+00,0.000000e+00,4.42E-01,3.82E-02,3.82E-02
2.35E+08,0.000000e+00,0.000000e+00,2.70E-01,2.54E-02,2.54E-02
2.95E+08,0.000000e+00,0.000000e+00,1.50E-01,1.55E-02,1.55E-02
3.86E+08,0.000000e+00,0.000000e+00,6.12E-02,7.81E-03,7.81E-03
5.51E+08,0.000000e+00,0.000000e+00,2.22E-02,3.39E-03,3.39E-03
9.30E+08,0.000000e+00,0.000000e+00,5.78E-03,1.17E-03,1.17E-03
2.05E+09,0.000000e+00,0.000000e+00,3.80E-04,3.54E-04,3.54E-04
