R,TOA
9.11E+03,1.29E+00
9.27E+03,1.36E+00
9.43E+03,1.43E+00
9.59E+03,1.50E+00
9.75E+03,1.58E+00
9.92E+03,1.66E+00
1.01E+04,1.75E+00
1.03E+04,1.84E+00
1.04E+04,1.94E+00
1.06E+04,2.04E+00
1.08E+04,2.14E+00
1.10E+04,2.25E+00
1.12E+04,2.37E+00
1.14E+04,2.49E+00
1.16E+04,2.62E+00
1.18E+04,2.76E+00
1.20E+04,2.90E+00
1.22E+04,3.05E+00
1.24E+04,3.21E+00
1.26E+04,3.37E+00
1.28E+04,3.55E+00
1.30E+04,3.73E+00
1.32E+04,3.92E+00
1.35E+04,4.13E+00
1.37E+04,4.34E+00
1.39E+04,4.56E+00
1.42E+04,4.80E+00
1.44E+04,5.05E+00
1.47E+04,5.31E+00
1.49E+04,5.58E+00
1.52E+04,5.87E+00
1.54E+04,6.17E+00
1.57E+04,6.49E+00
1.60E+04,6.82E+00
1.62E+04,7.17E+00
1.65E+04,7.54E+00
1.68E+04,7.93E+00
1.71E+04,8.34E+00
1.74E+04,8.76E+00
1.77E+04,9.22E+00
1.80E+04,9.69E+00
1.83E+04,1.02E+01
1.86E+04,1.07E+01
1.89E+04,1.13E+01
1.92E+04,1.18E+01
1.96E+04,1.24E+01
1.99E+04,1.31E+01
2.02E+04,1.38E+01
2.06E+04,1.45E+01
2.09E+04,1.52E+01
2.13E+04,1.60E+01
2.17E+04,1.68E+01
2.20E+04,1.76E+01
2.24E+04,1.85E+01
2.28E+04,1.95E+01
2.32E+04,2.05E+01
2.36E+04,2.15E+01
2.40E+04,2.26E+01
2.44E+04,2.38E+01
2.48E+04,2.50E+01
2.52E+04,2.62E+01
2.57E+04,2.76E+01
2.61E+04,2.90E+01
2.66E+04,3.04E+01
2.70E+04,3.20E+01
2.75E+04,3.36E+01
2.79E+04,3.53E+01
2.84E+04,3.71E+01
2.89E+04,3.89E+01
2.94E+04,4.09E+01
2.99E+04,4.29E+01
3.04E+04,4.51E+01
3.09E+04,4.73E+01
3.15E+04,4.97E+01
3.20E+04,5.21E+01
3.26E+04,5.47E+01
3.31E+04,5.74E+01
3.37E+04,6.03E+01
3.43E+04,6.33E+01
3.48E+04,6.64E+01
3.54E+04,6.97E+01
3.60E+04,7.31E+01
3.67E+04,7.67E+01
3.73E+04,8.04E+01
3.79E+04,8.44E+01
3.86E+04,8.85E+01
3.92E+04,9.28E+01
3.99E+04,9.73E+01
4.06E+04,1.02E+02
4.13E+04,1.07E+02
4.20E+04,1.12E+02
4.27E+04,1.17E+02
4.34E+04,1.23E+02
4.42E+04,1.29E+02
4.49E+04,1.35E+02
4.57E+04,1.41E+02
4.65E+04,1.48E+02
4.73E+04,1.55E+02
4.81E+04,1.62E+02
4.89E+04,1.70E+02
4.98E+04,1.78E+02
5.06E+04,1.86E+02
5.15E+04,1.95E+02
5.24E+04,2.04E+02
5.33E+04,2.13E+02
5.42E+04,2.23E+02
5.51E+04,2.33E+02
5.60E+04,2.43E+02
5.70E+04,2.54E+02
5.80E+04,2.65E+02
5.90E+04,2.77E+02
6.00E+04,2.89E+02
6.10E+04,3.02E+02
6.21E+04,3.15E+02
6.31E+04,3.29E+02
6.42E+04,3.43E+02
6.53E+04,3.58E+02
6.64E+04,3.73E+02
6.76E+04,3.89E+02
6.87E+04,4.05E+02
6.99E+04,4.22E+02
7.11E+04,4.39E+02
7.23E+04,4.57E+02
7.35E+04,4.76E+02
7.48E+04,4.95E+02
7.61E+04,5.15E+02
7.74E+04,5.35E+02
7.87E+04,5.56E+02
8.00E+04,5.78E+02
8.14E+04,6.00E+02
8.28E+04,6.23E+02
8.42E+04,6.46E+02
8.57E+04,6.70E+02
8.71E+04,6.95E+02
8.86E+04,7.20E+02
9.01E+04,7.46E+02
9.17E+04,7.72E+02
9.33E+04,7.99E+02
9.49E+04,8.26E+02
9.65E+04,8.55E+02
9.81E+04,8.83E+02
9.98E+04,9.12E+02
1.02E+05,9.42E+02
1.03E+05,9.72E+02
1.05E+05,1.00E+03
1.07E+05,1.03E+03
1.09E+05,1.07E+03
1.11E+05,1.10E+03
1.12E+05,1.13E+03
1.14E+05,1.16E+03
1.16E+05,1.19E+03
1.18E+05,1.23E+03
1.20E+05,1.26E+03
1.22E+05,1.29E+03
1.24E+05,1.33E+03
1.27E+05,1.36E+03
1.29E+05,1.39E+03
1.31E+05,1.43E+03
1.33E+05,1.46E+03
1.35E+05,1.49E+03
1.38E+05,1.53E+03
1.40E+05,1.56E+03
1.43E+05,1.59E+03
1.45E+05,1.62E+03
1.47E+05,1.65E+03
1.50E+05,1.68E+03
1.53E+05,1.72E+03
1.55E+05,1.75E+03
1.58E+05,1.77E+03
1.61E+05,1.80E+03
1.63E+05,1.83E+03
1.66E+05,1.86E+03
1.69E+05,1.88E+03
1.72E+05,1.91E+03
1.75E+05,1.93E+03
1.78E+05,1.96E+03
1.81E+05,1.98E+03
1.84E+05,2.00E+03
1.87E+05,2.02E+03
1.90E+05,2.04E+03
1.94E+05,2.06E+03
1.97E+05,2.07E+03
2.00E+05,2.09E+03
2.04E+05,2.10E+03
2.07E+05,2.11E+03
2.11E+05,2.12E+03
2.14E+05,2.13E+03
2.18E+05,2.14E+03
2.22E+05,2.14E+03
2.25E+05,2.15E+03
2.29E+05,2.15E+03
2.33E+05,2.15E+03
2.37E+05,2.15E+03
2.41E+05,2.15E+03
2.45E+05,2.15E+03
2.50E+05,2.14E+03
2.54E+05,2.14E+03
2.58E+05,2.13E+03
2.63E+05,2.12E+03
2.67E+05,2.11E+03
2.72E+05,2.10E+03
2.76E+05,2.08E+03
2.81E+05,2.07E+03
2.86E+05,2.06E+03
2.91E+05,2.04E+03
2.96E+05,2.02E+03
3.01E+05,2.00E+03
3.06E+05,1.98E+03
3.11E+05,1.96E+03
3.17E+05,1.94E+03
3.22E+05,1.91E+03
3.28E+05,1.89E+03
3.33E+05,1.86E+03
3.39E+05,1.84E+03
3.45E+05,1.81E+03
3.51E+05,1.78E+03
3.57E+05,1.75E+03
3.63E+05,1.71E+03
3.69E+05,1.68E+03
3.75E+05,1.65E+03
3.82E+05,1.62E+03
3.88E+05,1.58E+03
3.95E+05,1.55E+03
4.02E+05,1.51E+03
4.08E+05,1.48E+03
4.15E+05,1.44E+03
4.22E+05,1.41E+03
4.30E+05,1.38E+03
4.37E+05,1.34E+03
4.45E+05,1.31E+03
4.52E+05,1.28E+03
4.60E+05,1.24E+03
4.68E+05,1.21E+03
4.76E+05,1.18E+03
4.84E+05,1.15E+03
4.92E+05,1.12E+03
5.01E+05,1.09E+03
5.09E+05,1.06E+03
5.18E+05,1.03E+03
5.27E+05,9.98E+02
5.36E+05,9.70E+02
5.45E+05,9.41E+02
5.54E+05,9.14E+02
5.64E+05,8.87E+02
5.73E+05,8.60E+02
5.83E+05,8.34E+02
5.93E+05,8.08E+02
6.03E+05,7.83E+02
6.14E+05,7.58E+02
6.24E+05,7.34E+02
6.35E+05,7.10E+02
6.46E+05,6.87E+02
6.57E+05,6.65E+02
6.68E+05,6.43E+02
6.80E+05,6.21E+02
6.91E+05,6.00E+02
7.03E+05,5.79E+02
7.15E+05,5.59E+02
7.27E+05,5.40E+02
7.40E+05,5.21E+02
7.52E+05,5.02E+02
7.65E+05,4.84E+02
7.78E+05,4.67E+02
7.92E+05,4.50E+02
8.05E+05,4.34E+02
8.19E+05,4.18E+02
8.33E+05,4.02E+02
8.47E+05,3.87E+02
8.62E+05,3.73E+02
8.77E+05,3.59E+02
8.92E+05,3.45E+02
9.07E+05,3.32E+02
9.22E+05,3.19E+02
9.38E+05,3.07E+02
9.54E+05,2.95E+02
9.71E+05,2.84E+02
9.87E+05,2.73E+02
1.00E+06,2.62E+02
1.02E+06,2.52E+02
1.04E+06,2.42E+02
1.06E+06,2.33E+02
1.07E+06,2.24E+02
1.09E+06,2.15E+02
1.11E+06,2.06E+02
1.13E+06,1.98E+02
1.15E+06,1.90E+02
1.17E+06,1.83E+02
1.19E+06,1.75E+02
1.21E+06,1.68E+02
1.23E+06,1.61E+02
1.25E+06,1.55E+02
1.27E+06,1.48E+02
1.30E+06,1.42E+02
1.32E+06,1.36E+02
1.34E+06,1.31E+02
1.36E+06,1.25E+02
1.39E+06,1.20E+02
1.41E+06,1.15E+02
1.43E+06,1.10E+02
1.46E+06,1.06E+02
1.48E+06,1.01E+02
1.51E+06,9.70E+01
1.54E+06,9.29E+01
1.56E+06,8.89E+01
1.59E+06,8.51E+01
1.62E+06,8.15E+01
1.64E+06,7.80E+01
1.67E+06,7.46E+01
1.70E+06,7.14E+01
1.73E+06,6.83E+01
1.76E+06,6.54E+01
1.79E+06,6.25E+01
1.82E+06,5.98E+01
1.85E+06,5.72E+01
1.88E+06,5.47E+01
1.91E+06,5.23E+01
1.95E+06,5.00E+01
1.98E+06,4.78E+01
2.01E+06,4.57E+01
2.05E+06,4.37E+01
2.08E+06,4.17E+01
2.12E+06,3.99E+01
2.16E+06,3.81E+01
2.19E+06,3.64E+01
2.23E+06,3.48E+01
2.27E+06,3.32E+01
2.31E+06,3.17E+01
2.35E+06,3.03E+01
2.39E+06,2.89E+01
2.43E+06,2.76E+01
2.47E+06,2.64E+01
2.51E+06,2.52E+01
2.55E+06,2.40E+01
2.60E+06,2.29E+01
2.64E+06,2.19E+01
2.69E+06,2.09E+01
2.73E+06,1.99E+01
2.78E+06,1.90E+01
2.83E+06,1.81E+01
2.88E+06,1.73E+01
2.93E+06,1.65E+01
2.98E+06,1.57E+01
3.03E+06,1.50E+01
3.08E+06,1.43E+01
3.13E+06,1.37E+01
3.19E+06,1.30E+01
3.24E+06,1.24E+01
3.30E+06,1.18E+01
3.35E+06,1.13E+01
3.41E+06,1.08E+01
3.47E+06,1.03E+01
3.53E+06,9.77E+00
3.59E+06,9.31E+00
3.65E+06,8.87E+00
3.71E+06,8.46E+00
3.77E+06,8.06E+00
3.84E+06,7.68E+00
3.90E+06,7.31E+00
3.97E+06,6.97E+00
4.04E+06,6.63E+00
4.11E+06,6.32E+00
4.18E+06,6.02E+00
4.25E+06,5.73E+00
4.32E+06,5.46E+00
4.40E+06,5.20E+00
4.47E+06,4.95E+00
4.55E+06,4.71E+00
4.63E+06,4.49E+00
4.71E+06,4.27E+00
4.79E+06,4.06E+00
4.87E+06,3.87E+00
4.95E+06,3.68E+00
5.04E+06,3.50E+00
5.12E+06,3.34E+00
5.21E+06,3.17E+00
5.30E+06,3.02E+00
5.39E+06,2.87E+00
5.48E+06,2.73E+00
5.58E+06,2.60E+00
5.67E+06,2.47E+00
5.77E+06,2.35E+00
5.87E+06,2.24E+00
5.97E+06,2.13E+00
6.07E+06,2.03E+00
6.17E+06,1.93E+00
6.28E+06,1.83E+00
6.39E+06,1.74E+00
6.50E+06,1.66E+00
6.61E+06,1.58E+00
6.72E+06,1.50E+00
